Date,BGT North of NE 70th St Logger Total Cyclists,Elliott Bay Trl in Myrtle Edwards Park Total Cyclists,MTS Trl West of I-90 Bridge Total Cyclists,Spokane St. Bridge Total Cyclists
1/1/14 0:00,537,450,489,246
1/2/14 0:00,580,589,214,496
1/3/14 0:00,615,772,318,510
1/4/14 0:00,945,665,713,420
1/5/14 0:00,652,538,481,289
1/6/14 0:00,453,755,284,583
1/7/14 0:00,341,652,240,541
1/8/14 0:00,377,684,186,521
1/9/14 0:00,405,677,232,543
1/10/14 0:00,331,547,172,412
1/11/14 0:00,168,103,105,86
1/12/14 0:00,377,195,256,106
1/13/14 0:00,536,746,312,633
1/14/14 0:00,635,972,425,767
1/15/14 0:00,748,987,459,797
1/16/14 0:00,584,887,366,730
1/17/14 0:00,486,750,340,651
1/18/14 0:00,889,461,755,392
1/19/14 0:00,484,336,424,231
1/20/14 0:00,766,695,445,546
1/21/14 0:00,588,944,377,750
1/22/14 0:00,575,886,370,752
1/23/14 0:00,598,911,367,782
1/24/14 0:00,666,887,443,686
1/25/14 0:00,1152,776,968,457
1/26/14 0:00,1145,588,759,371
1/27/14 0:00,525,858,305,655
1/28/14 0:00,497,811,310,646
1/29/14 0:00,346,614,212,502
1/30/14 0:00,450,748,281,599
1/31/14 0:00,440,645,257,549
2/1/14 0:00,761,508,692,388
2/2/14 0:00,669,431,515,296
2/3/14 0:00,470,683,292,624
2/4/14 0:00,449,701,223,563
2/5/14 0:00,284,1054,325,813
2/6/14 0:00,242,529,152,399
2/7/14 0:00,249,550,163,363
2/8/14 0:00,498,323,366,180
2/9/14 0:00,15,44,23,19
2/10/14 0:00,231,394,133,357
2/11/14 0:00,429,684,281,534
2/12/14 0:00,487,736,274,568
2/13/14 0:00,641,836,373,648
2/14/14 0:00,349,523,222,417
2/15/14 0:00,432,202,434,190
2/16/14 0:00,322,166,205,93
2/17/14 0:00,300,338,163,242
2/18/14 0:00,292,488,176,426
2/19/14 0:00,483,777,320,598
2/20/14 0:00,477,736,307,549
2/21/14 0:00,433,603,272,476
2/22/14 0:00,301,181,267,168
2/23/14 0:00,317,485,229,219
2/24/14 0:00,204,505,177,465
2/25/14 0:00,696,989,444,731
2/26/14 0:00,846,1135,583,840
2/27/14 0:00,641,959,438,759
2/28/14 0:00,863,1016,541,727
3/1/14 0:00,594,652,406,287
3/2/14 0:00,200,229,147,95
3/3/14 0:00,413,611,223,463
3/4/14 0:00,373,714,213,482
3/5/14 0:00,426,659,218,466
3/6/14 0:00,370,556,207,479
3/7/14 0:00,759,998,582,720
3/8/14 0:00,515,248,481,206
3/9/14 0:00,844,539,463,292
3/10/14 0:00,431,708,255,495
3/11/14 0:00,1099,1355,725,934
3/12/14 0:00,1245,1567,848,1047
3/13/14 0:00,903,1153,583,961
3/14/14 0:00,610,794,285,502
3/15/14 0:00,928,511,649,292
3/16/14 0:00,160,101,81,75
3/17/14 0:00,803,1002,461,781
3/18/14 0:00,648,1063,473,780
3/19/14 0:00,426,768,300,635
3/20/14 0:00,663,1059,490,745
3/21/14 0:00,921,1085,555,764
3/22/14 0:00,1562,676,1005,552
3/23/14 0:00,1904,1069,995,656
3/24/14 0:00,1399,1445,834,1073
3/25/14 0:00,388,765,269,567
3/26/14 0:00,513,806,325,580
3/27/14 0:00,641,916,407,651
3/28/14 0:00,247,551,178,365
3/29/14 0:00,404,172,178,117
3/30/14 0:00,1246,608,911,324
3/31/14 0:00,1180,1244,698,1010
4/1/14 0:00,1198,1455,751,1040
4/2/14 0:00,1060,1333,708,947
4/3/14 0:00,557,882,371,675
4/4/14 0:00,851,947,442,662
4/5/14 0:00,719,322,417,275
4/6/14 0:00,1372,707,1313,470
4/7/14 0:00,1846,1922,1114,1308
4/8/14 0:00,692,930,367,714
4/9/14 0:00,1148,1379,734,962
4/10/14 0:00,1237,1354,723,1068
4/11/14 0:00,1033,1360,656,938
4/12/14 0:00,2153,1031,1258,631
4/13/14 0:00,2982,1746,1885,898
4/14/14 0:00,1459,1566,856,1063
4/15/14 0:00,875,1147,534,811
4/16/14 0:00,492,661,280,484
4/17/14 0:00,321,519,205,466
4/18/14 0:00,1185,1144,764,807
4/19/14 0:00,919,319,582,258
4/20/14 0:00,1694,987,1153,542
4/21/14 0:00,1071,1222,609,907
4/22/14 0:00,659,888,336,628
4/23/14 0:00,660,914,474,745
4/24/14 0:00,617,791,324,658
4/25/14 0:00,1196,1267,706,962
4/26/14 0:00,1877,957,1367,643
4/27/14 0:00,1220,456,486,290
4/28/14 0:00,1300,1504,772,1132
4/29/14 0:00,1954,1937,1201,1371
4/30/14 0:00,1994,2147,1314,1536
5/1/14 0:00,2316,2515,1460,1772
5/2/14 0:00,1609,1728,1010,1369
5/3/14 0:00,1044,527,686,381
5/4/14 0:00,352,223,211,208
5/5/14 0:00,824,1123,436,810
5/6/14 0:00,1422,1784,978,1377
5/7/14 0:00,1982,2321,1401,1592
5/8/14 0:00,750,1116,516,868
5/9/14 0:00,748,976,528,765
5/10/14 0:00,1507,1007,1093,495
5/11/14 0:00,2616,1329,1514,724
5/12/14 0:00,1970,2295,1275,1593
5/13/14 0:00,2246,2577,1463,1752
5/14/14 0:00,2107,2426,1404,1847
5/15/14 0:00,1886,2231,1286,1648
5/16/14 0:00,1817,2008,1332,1735
5/17/14 0:00,3573,1101,1274,629
5/18/14 0:00,1790,993,1026,608
5/19/14 0:00,1433,1977,822,1374
5/20/14 0:00,1976,2261,1344,1691
5/21/14 0:00,1687,2049,1181,1518
5/22/14 0:00,1838,2056,1110,1551
5/23/14 0:00,762,928,438,751
5/24/14 0:00,2208,1235,1244,654
5/25/14 0:00,1065,615,647,366
5/26/14 0:00,1875,1403,961,652
5/27/14 0:00,1695,2055,1035,1482
5/28/14 0:00,1066,1525,684,1061
5/29/14 0:00,1157,1764,928,1353
5/30/14 0:00,1876,2090,1123,1477
5/31/14 0:00,3054,1945,1655,1104
6/1/14 0:00,2753,1656,1488,844
6/2/14 0:00,1777,2013,992,1347
6/3/14 0:00,1499,1767,1045,1416
6/4/14 0:00,1594,1955,1056,1392
6/5/14 0:00,1701,2024,1048,1404
6/6/14 0:00,1738,1863,1021,1236
6/7/14 0:00,2947,1858,1636,1009
6/8/14 0:00,3688,2388,1578,799
6/9/14 0:00,1279,1760,739,1173
6/10/14 0:00,1421,1821,1019,1294
6/11/14 0:00,1891,2257,1278,1492
6/12/14 0:00,1024,1627,720,1133
6/13/14 0:00,542,866,279,558
6/14/14 0:00,1674,945,1156,695
6/15/14 0:00,1238,668,747,455
6/16/14 0:00,901,1323,480,902
6/17/14 0:00,1234,1799,775,1079
6/18/14 0:00,1598,1884,1144,1220
6/19/14 0:00,1606,1918,1212,1270
6/20/14 0:00,1339,1610,742,1020
6/21/14 0:00,3464,1844,1387,1135
6/22/14 0:00,2817,1674,1580,910
6/23/14 0:00,1803,1966,925,1340
6/24/14 0:00,1558,1939,910,1172
6/25/14 0:00,1963,2000,1152,1374
6/26/14 0:00,1353,1583,716,1198
6/27/14 0:00,887,1201,446,710
6/28/14 0:00,1783,923,879,549
6/29/14 0:00,2372,1284,1464,781
6/30/14 0:00,1980,2212,1124,1359
7/1/14 0:00,1905,2328,1263,1467
7/2/14 0:00,1866,2057,1211,1395
7/3/14 0:00,1570,1670,839,1060
7/4/14 0:00,2454,1360,1228,898
7/5/14 0:00,2100,1050,936,621
7/6/14 0:00,3369,1851,1767,979
7/7/14 0:00,1855,1931,990,1248
7/8/14 0:00,2111,2546,1244,1491
7/9/14 0:00,2069,2314,1277,1442
7/10/14 0:00,1921,2156,1052,1316
7/11/14 0:00,1741,1973,938,1197
7/12/14 0:00,2397,1520,1333,873
7/13/14 0:00,2158,1392,1269,736
7/14/14 0:00,1721,1968,960,1268
7/15/14 0:00,1891,2190,1190,1343
7/16/14 0:00,1899,2321,1101,1404
7/17/14 0:00,1654,1969,1073,1267
7/18/14 0:00,1684,1820,1084,1121
7/19/14 0:00,1984,1293,1187,633
7/20/14 0:00,1401,910,891,585
7/21/14 0:00,1827,1992,1436,1389
7/22/14 0:00,1507,2012,1374,1325
7/23/14 0:00,341,763,303,618
7/24/14 0:00,705,1196,670,918
7/25/14 0:00,1795,1873,1042,1219
7/26/14 0:00,2712,1732,1495,980
7/27/14 0:00,2795,1732,1541,961
7/28/14 0:00,1904,2201,1057,1416
7/29/14 0:00,2006,2346,1339,1522
7/30/14 0:00,1890,2318,1212,1492
7/31/14 0:00,1732,2095,1157,1289
8/1/14 0:00,1608,1816,1090,1317
8/2/14 0:00,2189,1400,1275,818
8/3/14 0:00,2655,1716,1302,872
8/4/14 0:00,1742,2118,952,1246
8/5/14 0:00,1605,2008,1166,1329
8/6/14 0:00,1775,1990,1094,1377
8/7/14 0:00,1657,2118,1039,1302
8/8/14 0:00,1675,1811,901,1115
8/9/14 0:00,2410,1538,1333,788
8/10/14 0:00,2513,1602,1633,940
8/11/14 0:00,1566,1906,886,1165
8/12/14 0:00,1124,1581,715,978
8/13/14 0:00,952,1261,585,770
8/14/14 0:00,1295,1569,751,1043
8/15/14 0:00,2037,845,603,817
8/16/14 0:00,3318,632,1176,703
8/17/14 0:00,2658,721,1192,695
8/18/14 0:00,1537,1899,883,1299
