Date,BGT North of NE 70th St Logger Total Cyclists,Elliott Bay Trl in Myrtle Edwards Park Total Cyclists,MTS Trl West of I-90 Bridge Total Cyclists,Spokane St. Bridge Total Cyclists
01/01/2014 00:00,537,450,489,246
01/02/2014 00:00,580,589,214,496
01/03/2014 00:00,615,772,318,510
01/04/2014 00:00,945,665,713,420
01/05/2014 00:00,652,538,481,289
01/06/2014 00:00,453,755,284,583
01/07/2014 00:00,341,652,240,541
01/08/2014 00:00,377,684,186,521
01/09/2014 00:00,405,677,232,543
01/10/2014 00:00,331,547,172,412
01/11/2014 00:00,168,103,105,86
01/12/2014 00:00,377,195,256,106
01/13/2014 00:00,536,746,312,633
01/14/2014 00:00,635,972,425,767
01/15/2014 00:00,748,987,459,797
01/16/2014 00:00,584,887,366,730
01/17/2014 00:00,486,750,340,651
01/18/2014 00:00,889,461,755,392
01/19/2014 00:00,484,336,424,231
01/20/2014 00:00,766,695,445,546
01/21/2014 00:00,588,944,377,750
01/22/2014 00:00,575,886,370,752
01/23/2014 00:00,598,911,367,782
01/24/2014 00:00,666,887,443,686
01/25/2014 00:00,1152,776,968,457
01/26/2014 00:00,1145,588,759,371
01/27/2014 00:00,525,858,305,655
01/28/2014 00:00,497,811,310,646
01/29/2014 00:00,346,614,212,502
01/30/2014 00:00,450,748,281,599
01/31/2014 00:00,440,645,257,549
02/01/2014 00:00,761,508,692,388
02/02/2014 00:00,669,431,515,296
02/03/2014 00:00,470,683,292,624
02/04/2014 00:00,449,701,223,563
02/05/2014 00:00,284,1054,325,813
02/06/2014 00:00,242,529,152,399
02/07/2014 00:00,249,550,163,363
02/08/2014 00:00,498,323,366,180
02/09/2014 00:00,15,44,23,19
02/10/2014 00:00,231,394,133,357
02/11/2014 00:00,429,684,281,534
02/12/2014 00:00,487,736,274,568
02/13/2014 00:00,641,836,373,648
02/14/2014 00:00,349,523,222,417
02/15/2014 00:00,432,202,434,190
02/16/2014 00:00,322,166,205,93
02/17/2014 00:00,300,338,163,242
02/18/2014 00:00,292,488,176,426
02/19/2014 00:00,483,777,320,598
02/20/2014 00:00,477,736,307,549
02/21/2014 00:00,433,603,272,476
02/22/2014 00:00,301,181,267,168
02/23/2014 00:00,317,485,229,219
02/24/2014 00:00,204,505,177,465
02/25/2014 00:00,696,989,444,731
02/26/2014 00:00,846,1135,583,840
02/27/2014 00:00,641,959,438,759
02/28/2014 00:00,863,1016,541,727
03/01/2014 00:00,594,652,406,287
03/02/2014 00:00,200,229,147,95
03/03/2014 00:00,413,611,223,463
03/04/2014 00:00,373,714,213,482
03/05/2014 00:00,426,659,218,466
03/06/2014 00:00,370,556,207,479
03/07/2014 00:00,759,998,582,720
03/08/2014 00:00,515,248,481,206
03/09/2014 00:00,844,539,463,292
03/10/2014 00:00,431,708,255,495
03/11/2014 00:00,1099,1355,725,934
03/12/2014 00:00,1245,1567,848,1047
03/13/2014 00:00,903,1153,583,961
03/14/2014 00:00,610,794,285,502
03/15/2014 00:00,928,511,649,292
03/16/2014 00:00,160,101,81,75
03/17/2014 00:00,803,1002,461,781
03/18/2014 00:00,648,1063,473,780
03/19/2014 00:00,426,768,300,635
03/20/2014 00:00,663,1059,490,745
03/21/2014 00:00,921,1085,555,764
03/22/2014 00:00,1562,676,1005,552
03/23/2014 00:00,1904,1069,995,656
03/24/2014 00:00,1399,1445,834,1073
03/25/2014 00:00,388,765,269,567
03/26/2014 00:00,513,806,325,580
03/27/2014 00:00,641,916,407,651
03/28/2014 00:00,247,551,178,365
03/29/2014 00:00,404,172,178,117
03/30/2014 00:00,1246,608,911,324
03/31/2014 00:00,1180,1244,698,1010
04/01/2014 00:00,1198,1455,751,1040
04/02/2014 00:00,1060,1333,708,947
04/03/2014 00:00,557,882,371,675
04/04/2014 00:00,851,947,442,662
04/05/2014 00:00,719,322,417,275
04/06/2014 00:00,1372,707,1313,470
04/07/2014 00:00,1846,1922,1114,1308
04/08/2014 00:00,692,930,367,714
04/09/2014 00:00,1148,1379,734,962
04/10/2014 00:00,1237,1354,723,1068
04/11/2014 00:00,1033,1360,656,938
04/12/2014 00:00,2153,1031,1258,631
04/13/2014 00:00,2982,1746,1885,898
04/14/2014 00:00,1459,1566,856,1063
04/15/2014 00:00,875,1147,534,811
04/16/2014 00:00,492,661,280,484
04/17/2014 00:00,321,519,205,466
04/18/2014 00:00,1185,1144,764,807
04/19/2014 00:00,919,319,582,258
04/20/2014 00:00,1694,987,1153,542
04/21/2014 00:00,1071,1222,609,907
04/22/2014 00:00,659,888,336,628
04/23/2014 00:00,660,914,474,745
04/24/2014 00:00,617,791,324,658
04/25/2014 00:00,1196,1267,706,962
04/26/2014 00:00,1877,957,1367,643
04/27/2014 00:00,1220,456,486,290
04/28/2014 00:00,1300,1504,772,1132
04/29/2014 00:00,1954,1937,1201,1371
04/30/2014 00:00,1994,2147,1314,1536
05/01/2014 00:00,2316,2515,1460,1772
05/02/2014 00:00,1609,1728,1010,1369
05/03/2014 00:00,1044,527,686,381
05/04/2014 00:00,352,223,211,208
05/05/2014 00:00,824,1123,436,810
05/06/2014 00:00,1422,1784,978,1377
05/07/2014 00:00,1982,2321,1401,1592
05/08/2014 00:00,750,1116,516,868
05/09/2014 00:00,748,976,528,765
05/10/2014 00:00,1507,1007,1093,495
05/11/2014 00:00,2616,1329,1514,724
05/12/2014 00:00,1970,2295,1275,1593
05/13/2014 00:00,2246,2577,1463,1752
05/14/2014 00:00,2107,2426,1404,1847
05/15/2014 00:00,1886,2231,1286,1648
05/16/2014 00:00,1817,2008,1332,1735
05/17/2014 00:00,3573,1101,1274,629
05/18/2014 00:00,1790,993,1026,608
05/19/2014 00:00,1433,1977,822,1374
05/20/2014 00:00,1976,2261,1344,1691
05/21/2014 00:00,1687,2049,1181,1518
05/22/2014 00:00,1838,2056,1110,1551
05/23/2014 00:00,762,928,438,751
05/24/2014 00:00,2208,1235,1244,654
05/25/2014 00:00,1065,615,647,366
05/26/2014 00:00,1875,1403,961,652
05/27/2014 00:00,1695,2055,1035,1482
05/28/2014 00:00,1066,1525,684,1061
05/29/2014 00:00,1157,1764,928,1353
05/30/2014 00:00,1876,2090,1123,1477
05/31/2014 00:00,3054,1945,1655,1104
06/01/2014 00:00,2753,1656,1488,844
06/02/2014 00:00,1777,2013,992,1347
06/03/2014 00:00,1499,1767,1045,1416
06/04/2014 00:00,1594,1955,1056,1392
06/05/2014 00:00,1701,2024,1048,1404
06/06/2014 00:00,1738,1863,1021,1236
06/07/2014 00:00,2947,1858,1636,1009
06/08/2014 00:00,3688,2388,1578,799
06/09/2014 00:00,1279,1760,739,1173
06/10/2014 00:00,1421,1821,1019,1294
06/11/2014 00:00,1891,2257,1278,1492
06/12/2014 00:00,1024,1627,720,1133
06/13/2014 00:00,542,866,279,558
06/14/2014 00:00,1674,945,1156,695
06/15/2014 00:00,1238,668,747,455
06/16/2014 00:00,901,1323,480,902
06/17/2014 00:00,1234,1799,775,1079
06/18/2014 00:00,1598,1884,1144,1220
06/19/2014 00:00,1606,1918,1212,1270
06/20/2014 00:00,1339,1610,742,1020
06/21/2014 00:00,3464,1844,1387,1135
06/22/2014 00:00,2817,1674,1580,910
06/23/2014 00:00,1803,1966,925,1340
06/24/2014 00:00,1558,1939,910,1172
06/25/2014 00:00,1963,2000,1152,1374
06/26/2014 00:00,1353,1583,716,1198
06/27/2014 00:00,887,1201,446,710
06/28/2014 00:00,1783,923,879,549
06/29/2014 00:00,2372,1284,1464,781
06/30/2014 00:00,1980,2212,1124,1359
07/01/2014 00:00,1905,2328,1263,1467
07/02/2014 00:00,1866,2057,1211,1395
07/03/2014 00:00,1570,1670,839,1060
07/04/2014 00:00,2454,1360,1228,898
07/05/2014 00:00,2100,1050,936,621
07/06/2014 00:00,3369,1851,1767,979
07/07/2014 00:00,1855,1931,990,1248
07/08/2014 00:00,2111,2546,1244,1491
07/09/2014 00:00,2069,2314,1277,1442
07/10/2014 00:00,1921,2156,1052,1316
07/11/2014 00:00,1741,1973,938,1197
07/12/2014 00:00,2397,1520,1333,873
07/13/2014 00:00,2158,1392,1269,736
07/14/2014 00:00,1721,1968,960,1268
07/15/2014 00:00,1891,2190,1190,1343
07/16/2014 00:00,1899,2321,1101,1404
07/17/2014 00:00,1654,1969,1073,1267
07/18/2014 00:00,1684,1820,1084,1121
07/19/2014 00:00,1984,1293,1187,633
07/20/2014 00:00,1401,910,891,585
07/21/2014 00:00,1827,1992,1436,1389
07/22/2014 00:00,1507,2012,1374,1325
07/23/2014 00:00,341,763,303,618
07/24/2014 00:00,705,1196,670,918
07/25/2014 00:00,1795,1873,1042,1219
07/26/2014 00:00,2712,1732,1495,980
07/27/2014 00:00,2795,1732,1541,961
07/28/2014 00:00,1904,2201,1057,1416
07/29/2014 00:00,2006,2346,1339,1522
07/30/2014 00:00,1890,2318,1212,1492
07/31/2014 00:00,1732,2095,1157,1289
08/01/2014 00:00,1608,1816,1090,1317
08/02/2014 00:00,2189,1400,1275,818
08/03/2014 00:00,2655,1716,1302,872
08/04/2014 00:00,1742,2118,952,1246
08/05/2014 00:00,1605,2008,1166,1329
