Date,26th Ave SW Greenway at SW Oregon St Total,North,South
1/1/2014 0:00,2,2,0
1/1/2014 1:00,6,0,6
1/1/2014 2:00,5,1,4
1/1/2014 3:00,1,1,0
1/1/2014 4:00,3,1,2
1/1/2014 5:00,0,0,0
1/1/2014 6:00,0,0,0
1/1/2014 7:00,0,0,0
1/1/2014 8:00,0,0,0
1/1/2014 9:00,4,2,2
1/1/2014 10:00,4,2,2
1/1/2014 11:00,5,1,4
1/1/2014 12:00,17,7,10
1/1/2014 13:00,8,3,5
1/1/2014 14:00,6,1,5
1/1/2014 15:00,9,1,8
1/1/2014 16:00,16,3,13
1/1/2014 17:00,5,1,4
1/1/2014 18:00,3,0,3
1/1/2014 19:00,8,1,7
1/1/2014 20:00,4,0,4
1/1/2014 21:00,0,0,0
1/1/2014 22:00,0,0,0
1/1/2014 23:00,2,0,2
1/2/2014 0:00,3,1,2
1/2/2014 1:00,0,0,0
1/2/2014 2:00,2,0,2
1/2/2014 3:00,1,1,0
1/2/2014 4:00,0,0,0
1/2/2014 5:00,3,3,0
1/2/2014 6:00,4,1,3
1/2/2014 7:00,15,11,4
1/2/2014 8:00,7,5,2
1/2/2014 9:00,5,2,3
1/2/2014 10:00,8,1,7
1/2/2014 11:00,17,8,9
1/2/2014 12:00,16,2,14
1/2/2014 13:00,14,3,11
1/2/2014 14:00,26,4,22
1/2/2014 15:00,22,5,17
1/2/2014 16:00,18,6,12
1/2/2014 17:00,18,3,15
1/2/2014 18:00,13,7,6
1/2/2014 19:00,5,3,2
1/2/2014 20:00,2,2,0
1/2/2014 21:00,1,0,1
1/2/2014 22:00,4,0,4
1/2/2014 23:00,0,0,0
1/3/2014 0:00,0,0,0
1/3/2014 1:00,0,0,0
1/3/2014 2:00,5,0,5
1/3/2014 3:00,0,0,0
1/3/2014 4:00,0,0,0
1/3/2014 5:00,4,2,2
1/3/2014 6:00,5,4,1
1/3/2014 7:00,13,9,4
1/3/2014 8:00,17,10,7
1/3/2014 9:00,6,4,2
1/3/2014 10:00,20,8,12
1/3/2014 11:00,8,4,4
1/3/2014 12:00,21,1,20
1/3/2014 13:00,18,5,13
1/3/2014 14:00,20,1,19
1/3/2014 15:00,14,6,8
1/3/2014 16:00,15,1,14
1/3/2014 17:00,14,5,9
1/3/2014 18:00,21,8,13
1/3/2014 19:00,6,1,5
1/3/2014 20:00,8,0,8
1/3/2014 21:00,1,0,1
1/3/2014 22:00,3,1,2
1/3/2014 23:00,3,1,2
