Date,Elliott Bay Trail in Myrtle Edwards Park Total,Ped North,Ped South,Bike North,Bike South
01/01/2014 12:00:00 AM,20,5,11,1,3
01/01/2014 01:00:00 AM,7,2,3,1,1
01/01/2014 02:00:00 AM,5,1,0,3,1
01/01/2014 03:00:00 AM,4,2,0,1,1
01/01/2014 04:00:00 AM,2,1,1,0,0
01/01/2014 05:00:00 AM,4,2,0,1,1
01/01/2014 06:00:00 AM,1,0,1,0,0
01/01/2014 07:00:00 AM,26,7,10,4,5
01/01/2014 08:00:00 AM,43,21,16,2,4
01/01/2014 09:00:00 AM,83,44,29,3,7
01/01/2014 10:00:00 AM,159,67,58,21,13
01/01/2014 11:00:00 AM,260,114,104,28,14
01/01/2014 12:00:00 PM,336,138,147,25,26
01/01/2014 01:00:00 PM,311,107,130,41,33
01/01/2014 02:00:00 PM,297,112,98,42,45
01/01/2014 03:00:00 PM,297,126,117,29,25
01/01/2014 04:00:00 PM,201,63,96,17,25
01/01/2014 05:00:00 PM,48,12,24,5,7
01/01/2014 06:00:00 PM,31,12,13,4,2
01/01/2014 07:00:00 PM,25,13,9,1,2
01/01/2014 08:00:00 PM,10,3,4,1,2
01/01/2014 09:00:00 PM,9,4,4,1,0
01/01/2014 10:00:00 PM,4,2,2,0,0
01/01/2014 11:00:00 PM,7,1,4,1,1
01/02/2014 12:00:00 AM,3,1,0,1,1
01/02/2014 01:00:00 AM,4,3,1,0,0
01/02/2014 02:00:00 AM,3,1,2,0,0
01/02/2014 03:00:00 AM,2,0,0,1,1
01/02/2014 04:00:00 AM,6,1,2,2,1
01/02/2014 05:00:00 AM,26,5,2,9,10
01/02/2014 06:00:00 AM,46,13,11,8,14
01/02/2014 07:00:00 AM,106,19,19,19,49
01/02/2014 08:00:00 AM,154,35,36,19,64
01/02/2014 09:00:00 AM,118,38,37,12,31
01/02/2014 10:00:00 AM,64,20,29,4,11
01/02/2014 11:00:00 AM,105,49,36,11,9
01/02/2014 12:00:00 PM,236,108,112,6,10
01/02/2014 01:00:00 PM,128,46,52,18,12
01/02/2014 02:00:00 PM,133,47,54,18,14
01/02/2014 03:00:00 PM,168,44,62,37,25
01/02/2014 04:00:00 PM,158,29,27,82,20
01/02/2014 05:00:00 PM,66,14,8,36,8
01/02/2014 06:00:00 PM,26,6,5,11,4
01/02/2014 07:00:00 PM,7,1,3,3,0
01/02/2014 08:00:00 PM,5,3,0,2,0
01/02/2014 09:00:00 PM,4,1,2,1,0
01/02/2014 10:00:00 PM,5,1,2,2,0
01/02/2014 11:00:00 PM,7,3,1,3,0
01/03/2014 12:00:00 AM,3,2,1,0,0
01/03/2014 01:00:00 AM,2,1,1,0,0
01/03/2014 02:00:00 AM,3,1,2,0,0
01/03/2014 03:00:00 AM,6,3,1,1,1
01/03/2014 04:00:00 AM,26,3,2,10,11
01/03/2014 05:00:00 AM,52,15,14,13,10
01/03/2014 06:00:00 AM,125,26,23,21,55
01/03/2014 07:00:00 AM,149,28,35,23,63
01/03/2014 08:00:00 AM,130,41,43,5,41
01/03/2014 09:00:00 AM,113,51,45,4,13
01/03/2014 10:00:00 AM,196,96,80,9,11
01/03/2014 11:00:00 AM,364,157,166,20,21
01/03/2014 12:00:00 PM,255,99,112,26,18
01/03/2014 01:00:00 PM,263,98,97,41,27
01/03/2014 02:00:00 PM,268,84,115,36,33
01/03/2014 03:00:00 PM,235,64,85,58,28
01/03/2014 04:00:00 PM,150,15,29,83,23
01/03/2014 05:00:00 PM,69,19,11,30,9
01/03/2014 06:00:00 PM,15,2,5,6,2
01/03/2014 07:00:00 PM,7,3,1,2,1
01/03/2014 08:00:00 PM,18,6,4,6,2
01/03/2014 09:00:00 PM,8,2,2,1,3
01/03/2014 10:00:00 PM,3,1,2,0,0
01/03/2014 11:00:00 PM,9,1,3,2,3
01/04/2014 12:00:00 AM,3,1,1,1,0
01/04/2014 01:00:00 AM,3,1,1,1,0
01/04/2014 02:00:00 AM,2,1,1,0,0
01/04/2014 03:00:00 AM,2,1,1,0,0
01/04/2014 04:00:00 AM,5,2,1,2,0
01/04/2014 05:00:00 AM,7,1,2,0,4
01/04/2014 06:00:00 AM,30,13,9,4,4
01/04/2014 07:00:00 AM,121,50,47,5,19
01/04/2014 08:00:00 AM,195,91,75,16,13
